gene,module,module_size,degree
LUM,1,52,49
FAP,1,52,48
SFRP2,1,52,45
POSTN,1,52,45
PRRX1,1,52,45
THBS2,1,52,44
COL11A1,1,52,43
ADAM12,1,52,42
INHBA,1,52,42
NTM,1,52,41
ASPN,1,52,41
OMD,1,52,40
ITGBL1,1,52,40
ALPK2,1,52,40
LRRC15,1,52,40
MMP11,1,52,39
SVEP1,1,52,38
EPYC,1,52,38
COL10A1,1,52,38
GJB2,1,52,36
GREM1,1,52,35
IGFL2,1,52,35
SFRP4,1,52,34
CCL11,1,52,34
DIO2,1,52,34
SLC35D3,1,52,33
DPT,1,52,33
NKX3-2,1,52,32
C5orf46,1,52,32
SCG2,1,52,31
MEGF10,1,52,30
MMP13,1,52,29
CXCL14,1,52,29
PLN,1,52,26
COL6A6,1,52,26
SULF1,1,52,24
ACTG2,1,52,23
PTGER3,1,52,22
MEOX2,1,52,21
FMO1,1,52,17
GRP,1,52,15
GFRA1,1,52,15
SEMA3D,1,52,12
COMP,1,52,12
BCHE,1,52,7
PTPRD,1,52,4
BARX1,1,52,3
SERPINB7,1,52,3
PITX2,1,52,1
CALB2,1,52,1
CNTN1,1,52,1
CHRNA1,1,52,1
CXCL9,2,36,20
IL21R,2,36,20
GZMK,2,36,18
PLA2G2D,2,36,17
IRF4,2,36,17
CXCL13,2,36,16
MGC29506,2,36,15
CD79A,2,36,15
FCRL5,2,36,15
BMS1P20,2,36,15
IGJ,2,36,15
ADAM6,2,36,15
MS4A1,2,36,13
CCL19,2,36,13
ZNF683,2,36,11
ADAMDEC1,2,36,9
KIAA0125,2,36,8
POU2AF1,2,36,8
CXCL11,2,36,8
UBD,2,36,7
MMP9,2,36,5
CXCR2P1,2,36,5
HLA-DQA1,2,36,5
CD1E,2,36,4
CD1A,2,36,4
IDO1,2,36,3
HLA-DQB2,2,36,3
LOC400696,2,36,3
HLA-DQA2,2,36,2
CCL13,2,36,2
CCL18,2,36,2
HLA-DRB5,2,36,1
MMP12,2,36,1
GNLY,2,36,1
CD207,2,36,1
HLA-DRB6,2,36,1
COLEC11,3,30,26
STAR,3,30,24
ARX,3,30,23
FOXL2,3,30,22
C3orf72,3,30,22
PTPN5,3,30,21
GATA4,3,30,20
PEG3,3,30,20
DLK1,3,30,19
C7,3,30,19
TCF21,3,30,17
AMHR2,3,30,16
TSPAN8,3,30,16
EDN3,3,30,15
CADPS,3,30,15
CASR,3,30,14
SCUBE1,3,30,13
NR5A1,3,30,13
PROK1,3,30,13
ATRNL1,3,30,12
THSD7B,3,30,9
PLCXD3,3,30,8
FAM150B,3,30,7
COL2A1,3,30,6
DHRS2,3,30,3
OGN,3,30,3
ABCA8,3,30,3
DPYSL5,3,30,2
KCNIP1,3,30,1
TUBB2B,3,30,1
NNMT,4,7,7
LCN2,4,7,3
SAA1,4,7,2
SAA2,4,7,2
FMO2,4,7,1
VNN3,4,7,1
PDZK1IP1,4,7,1
FABP4,5,4,12
CCL21,5,4,4
ADH1B,5,4,3
ADIPOQ,5,4,1
CPA3,6,3,7
TPSB2,6,3,5
TPSAB1,6,3,3
